subject_id,first_name,last_name,site_id,enroll_year,enroll_month,enroll_day,height_cm,full_name,first_visit_date,status
SUBJ-0001,Jamie,Nguyen,SITE-07,2021,5,15,169.7,Jamie Nguyen,2021-05-15,Active
SUBJ-0002,Riley,Jensen,SITE-01,2021,10,5,166.3,Riley Jensen,2021-10-05,Active
SUBJ-0003,Rowan,Singh,SITE-07,2021,10,28,174.5,Rowan Singh,2021-10-28,Active
SUBJ-0004,Reese,Diaz,SITE-04,2021,6,9,165.3,Reese Diaz,2021-06-09,Active
SUBJ-0005,Jamie,Singh,SITE-03,2021,2,19,179.5,Jamie Singh,2021-02-19,Active
SUBJ-0006,Quinn,Nguyen,SITE-01,2021,1,18,170.6,Quinn Nguyen,2021-01-18,Active
SUBJ-0007,Morgan,Foster,SITE-02,2021,4,16,158.8,Morgan Foster,2021-04-16,Active
SUBJ-0008,Riley,Kim,SITE-08,2021,11,13,169.8,Riley Kim,2021-11-13,Active
SUBJ-0009,Hayden,Nguyen,SITE-08,2021,7,14,161.4,Hayden Nguyen,2021-07-14,Active
SUBJ-0010,Riley,Carter,SITE-07,2021,7,15,176.5,Riley Carter,2021-07-15,Active
SUBJ-0011,Avery,Irwin,SITE-03,2021,10,23,180.8,Avery Irwin,2021-10-23,Active
SUBJ-0012,Riley,Reyes,SITE-04,2021,6,12,178.2,Riley Reyes,2021-06-12,Active
SUBJ-0013,Rowan,Foster,SITE-05,2021,1,20,175.7,Rowan Foster,2021-01-20,Active
SUBJ-0014,Casey,Reyes,SITE-05,2021,2,9,158.7,Casey Reyes,2021-02-09,Active
SUBJ-0015,Emerson,Carter,SITE-03,2021,8,9,180,Emerson Carter,2021-08-09,Active
SUBJ-0016,Jamie,Nguyen,SITE-08,2021,2,22,163.1,Jamie Nguyen,2021-02-22,Active
SUBJ-0017,Cameron,Moore,SITE-07,2021,8,21,165,Cameron Moore,2021-08-21,Active
SUBJ-0018,Jamie,Nguyen,SITE-01,2021,1,5,193.2,Jamie Nguyen,2021-01-05,Active
SUBJ-0019,Quinn,Ortiz,SITE-07,2021,5,26,166.8,Quinn Ortiz,2021-05-26,Active
SUBJ-0020,Taylor,Carter,SITE-04,2021,7,23,172.9,Taylor Carter,2021-07-23,Active
SUBJ-0021,Quinn,Moore,SITE-02,2021,9,20,180.2,Quinn Moore,2021-09-20,Active
SUBJ-0022,Jordan,Bennett,SITE-01,2021,9,17,185.3,Jordan Bennett,2021-09-17,Active
SUBJ-0023,Avery,Reyes,SITE-03,2021,1,23,166.9,Avery Reyes,2021-01-23,Active
SUBJ-0024,Quinn,Bennett,SITE-06,2021,11,17,163.7,Quinn Bennett,2021-11-17,Active
